,date,variable,generation_twh
China,01/03/2020,Hydro,75.66
China,01/03/2020,Nuclear,30.63
China,01/03/2020,Other Fossil,1.48
China,01/03/2020,Solar,23.52
China,01/03/2020,Wind,49.15
China,01/03/2020,Wind and solar,72.67
China,01/04/2020,Bioenergy,10.02
China,01/04/2020,Clean,183.3
China,01/04/2020,Coal,372.25
China,01/04/2020,Fossil,391.51
China,01/04/2020,Gas,17.75
China,01/04/2020,Hydro,75.13
China,01/04/2020,Nuclear,30.77
China,01/04/2020,Other Fossil,1.51
China,01/04/2020,Solar,25.31
China,01/04/2020,Wind,42.07
China,01/04/2020,Wind and solar,67.38
China,01/05/2020,Bioenergy,10.65
China,01/05/2020,Clean,197.36
China,01/05/2020,Coal,395.71
China,01/05/2020,Fossil,416.18
China,01/05/2020,Gas,18.87
China,01/05/2020,Hydro,85.27
China,01/05/2020,Nuclear,31.08
China,01/05/2020,Other Fossil,1.6
China,01/05/2020,Solar,25.02
China,01/05/2020,Wind,45.34
China,01/05/2020,Wind and solar,70.36
China,01/06/2020,Bioenergy,10.91
China,01/06/2020,Clean,223.92
China,01/06/2020,Coal,405.29
China,01/06/2020,Fossil,426.25
China,01/06/2020,Gas,19.32
China,01/06/2020,Hydro,120.93
China,01/06/2020,Nuclear,31.78
China,01/06/2020,Other Fossil,1.64
China,01/06/2020,Solar,23.43
China,01/06/2020,Wind,36.87
China,01/06/2020,Wind and solar,60.3
China,01/07/2020,Bioenergy,11.6
China,01/07/2020,Clean,249.55
China,01/07/2020,Coal,431.03
China,01/07/2020,Fossil,453.33
China,01/07/2020,Gas,20.55
China,01/07/2020,Hydro,148.61
China,01/07/2020,Nuclear,33.41
China,01/07/2020,Other Fossil,1.75
China,01/07/2020,Solar,23.62
China,01/07/2020,Wind,32.31
China,01/07/2020,Wind and solar,55.93
China,01/08/2020,Bioenergy,12.85
China,01/08/2020,Clean,245.68
China,01/08/2020,Coal,477.59
China,01/08/2020,Fossil,502.3
China,01/08/2020,Gas,22.77
China,01/08/2020,Hydro,143.78
China,01/08/2020,Nuclear,33.15
China,01/08/2020,Other Fossil,1.94
China,01/08/2020,Solar,23.87
China,01/08/2020,Wind,32.03
China,01/08/2020,Wind and solar,55.9
China,01/09/2020,Bioenergy,10.67
China,01/09/2020,Clean,237.32
China,01/09/2020,Coal,396.57
China,01/09/2020,Fossil,417.09
China,01/09/2020,Gas,18.91
China,01/09/2020,Hydro,141.3
China,01/09/2020,Nuclear,31.87
China,01/09/2020,Other Fossil,1.61
China,01/09/2020,Solar,23.11
China,01/09/2020,Wind,30.37
China,01/09/2020,Wind and solar,53.48
China,01/10/2020,Bioenergy,10.11
China,01/10/2020,Clean,236.78
China,01/10/2020,Coal,375.75
China,01/10/2020,Fossil,395.18
China,01/10/2020,Gas,17.91
China,01/10/2020,Hydro,135.49
China,01/10/2020,Nuclear,28.68
China,01/10/2020,Other Fossil,1.52
China,01/10/2020,Solar,22.04
China,01/10/2020,Wind,40.46
